Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Angola,Africa,105095,319.766,0,0,0,1930,5.872,0,0,0
French Guiana,Americas,97982,32804.789,36,12.053,0,413,138.274,0,0,0
Democratic Republic of the Congo,Africa,95345,106.458,0,0,0,1463,1.634,0,0,0
Senegal,Africa,88900,530.939,0,0,0,1968,11.754,0,0,0
Malawi,Africa,88349,461.836,67,0.35,0,2686,14.041,1,0.005,0
Côte d’Ivoire,Africa,87963,333.468,3,0.011,0,833,3.158,0,0,0
Suriname,Americas,82020,13981.508,0,0,0,1398,238.31,0,0,0
New Caledonia,Western Pacific,79921,27993.541,61,21.366,0,314,109.983,0,0,0
French Polynesia,Western Pacific,77957,27751.791,0,0,0,649,231.036,0,0,0
Eswatini,Africa,74086,6385.821,33,2.844,0,1422,122.569,0,0,0
Guyana,Americas,72690,9241.601,127,16.146,0,1293,164.388,1,0.127,0
Belize,Americas,70555,17743.972,158,39.736,158,688,173.026,0,0,0
Fiji,Western Pacific,68808,7675.652,15,1.673,15,883,98.5,0,0,0
Madagascar,Africa,67788,244.801,28,0.101,0,1418,5.121,0,0,0
Jersey,Europe,66259,61467.03,84,77.925,10,155,143.79,5,4.638,1
Sudan,Eastern Mediterranean,63725,145.327,9,0.021,0,5001,11.405,3,0.007,0
Mauritania,Africa,63435,1364.294,0,0,0,997,21.442,0,0,0
Cabo Verde,Africa,63221,11370.949,1,0.18,0,412,74.102,0,0,0
Bhutan,South-East Asia,62577,8109.947,26,3.37,0,21,2.722,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57423,328.119,0,0,0,3163,18.074,0,0,0
Burundi,Africa,52429,440.921,0,0,0,15,0.126,0,0,0
Guam,Western Pacific,50442,29887.128,440,260.702,0,415,245.889,4,2.37,0
Seychelles,Africa,50355,51201.358,0,0,0,172,174.891,0,0,0
Gabon,Africa,48980,2200.622,0,0,0,306,13.748,0,0,0
Andorra,Europe,47820,61890.895,39,50.476,0,159,205.785,0,0,0
Papua New Guinea,Western Pacific,46663,521.548,0,0,0,669,7.477,0,0,0
Curaçao,Americas,45766,27890.282,21,12.798,0,301,183.433,2,1.219,0
Aruba,Americas,43965,41178.84,29,27.162,0,281,263.192,0,0,0
United Republic of Tanzania,Africa,42530,71.199,63,0.105,0,846,1.416,0,0,0
Mayotte,Africa,42002,15395.781,0,0,0,187,68.545,0,0,0
Togo,Africa,39352,475.339,1,0.012,0,290,3.503,0,0,0
Guinea,Africa,38224,291.058,0,0,0,467,3.556,0,0,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Bahamas,Americas,37491,9533.775,0,0,0,833,211.828,0,0,0
Guernsey,Europe,34672,53781.721,108,167.525,0,66,102.376,4,6.205,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34490,1609.99,0,0,0,706,32.956,0,0,0
Haiti,Americas,33969,297.908,0,0,0,860,7.542,0,0,0
Mali,Africa,32772,161.83,0,0,0,743,3.669,0,0,0
Cayman Islands,Americas,31472,47888.01,0,0,0,37,56.299,0,0,0
Saint Lucia,Americas,29761,16207.312,0,0,0,409,222.734,0,0,0
Benin,Africa,27989,230.871,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27310,171.834,0,0,0,1361,8.563,0,0,0
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0
Solomon Islands,Western Pacific,24575,3577.751,0,0,0,153,22.275,0,0,0
United States Virgin Islands,Americas,24176,23151.544,180,172.373,38,129,123.534,2,1.915,0
Timor-Leste,South-East Asia,23409,1775.501,4,0.303,1,138,10.467,0,0,0
San Marino,Europe,23370,68860.864,12,35.359,0,122,359.479,0,0,0
Micronesia (Federated States of),Western Pacific,22247,19341.349,0,0,0,58,50.425,0,0,0
Burkina Faso,Africa,22025,105.366,0,0,0,396,1.894,0,0,0
Liechtenstein,Europe,21343,55082.974,8,20.647,0,87,224.534,0,0,0
Gibraltar,Europe,20392,60526.55,13,38.586,13,111,329.465,0,0,0
Grenada,Americas,19680,17489.758,0,0,0,238,211.512,0,0,0
Bermuda,Americas,18751,30110.963,33,52.992,33,157,252.116,2,3.212,2
South Sudan,Africa,18368,164.092,0,0,0,138,1.233,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
Equatorial Guinea,Africa,17089,1218.046,0,0,0,183,13.044,0,0,0
Tonga,Western Pacific,16590,15696.107,0,0,0,12,11.353,-1,-0.946,0
Monaco,Europe,16041,40875.038,24,61.156,1,65,165.63,0,0,0
Samoa,Western Pacific,16008,8067.979,0,0,0,29,14.616,0,0,0
Dominica,Americas,15760,21891.625,0,0,0,74,102.791,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Marshall Islands,Western Pacific,15544,26259.418,0,0,0,17,28.719,0,0,0
Nicaragua,Americas,15541,234.597,34,0.513,0,245,3.698,0,0,0
Central African Republic,Africa,15360,318.028,0,0,0,113,2.34,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13395,23272.582,0,0,0,41,71.234,0,0,0
Gambia,Africa,12586,520.8,0,0,0,372,15.393,0,0,0
Saint Martin,Americas,12222,31614.889,0,0,0,46,118.989,0,0,0
Vanuatu,Western Pacific,12014,3911.508,0,0,0,14,4.558,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11945,40.049,0,0,0,2159,7.239,0,0,0
Sint Maarten,Americas,11010,25675.108,5,11.66,0,89,207.546,0,0,0
Eritrea,Africa,10189,287.304,0,0,0,103,2.904,0,0,0
Bonaire,Americas,9824,46971.073,2,9.563,0,33,157.781,0,0,0
Saint Vincent and the Grenadines,Americas,9572,8628.087,9,8.112,0,123,110.871,2,1.803,0
Niger,Africa,9508,39.278,1,0.004,0,315,1.301,0,0,0
Antigua and Barbuda,Americas,9106,9298.573,0,0,0,146,149.088,0,0,0
Comoros,Africa,8992,1034.037,5,0.575,0,160,18.399,0,0,0
Guinea-Bissau,Africa,8947,454.624,0,0,0,176,8.943,0,0,0
American Samoa,Western Pacific,8317,15067.848,8,14.494,0,34,61.598,0,0,0
Liberia,Africa,8043,159.025,0,0,0,294,5.813,0,0,0
Sierra Leone,Africa,7760,97.28,0,0,0,125,1.567,0,0,0
Chad,Africa,7651,46.579,0,0,0,194,1.181,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Cook Islands,Western Pacific,6988,39785.926,36,204.965,0,2,11.387,0,0,0
Saint Kitts and Nevis,Americas,6585,12379.681,7,13.16,1,46,86.479,0,0,0
Turks and Caicos Islands,Americas,6522,16844.878,43,111.059,0,38,98.146,2,5.166,0
Sao Tome and Principe,Africa,6279,2865.043,0,0,0,77,35.134,0,0,0
Palau,Western Pacific,5980,33053.283,4,22.109,0,9,49.746,0,0,0
Saint Barthélemy,Americas,5418,54810.319,0,0,0,5,50.582,0,0,0
Kiribati,Western Pacific,4991,4178.352,70,58.602,0,18,15.069,1,0.837,0
Nauru,Western Pacific,4621,42652.76,0,0,0,1,9.23,0,0,0
Anguilla,Americas,3904,26023.197,0,0,0,12,79.989,0,0,0
Wallis and Futuna,Western Pacific,3427,30473.057,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,3411,58861.087,0,0,0,2,34.513,0,0,0
Tuvalu,Western Pacific,2779,23566.825,0,0,0,0,0,0,0,0
"Saint Helena, Ascension and Tristan da Cunha",Africa,2166,35677.813,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,1923,55211.025,0,0,0,0,0,0,0,0
Montserrat,Americas,1403,28065.613,0,0,0,8,160.032,0,0,0
Sint Eustatius,Americas,1214,38674.737,0,0,0,6,191.144,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,741,38334.196,1,51.733,0,2,103.466,0,0,0
Niue,Western Pacific,725,44808.405,26,1606.922,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,5,370.37,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
